experiment,target,seed,variant,IC_mean,ICIR,RankIC_mean,RankICIR,sharpe,B_cosine_vs_target,B_l2_delta_vs_target,B_asym_ratio,n_test_days,test_split
cross_period_recent,csi300_recent,512,own_B,0.045676716947675916,0.3500315654475926,0.02779906391575631,0.22048956467432201,1.0829621649138421,0.9999999059459306,0.0,0.20240391436022429,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,512,official_B_to_recent,0.04078724039975865,0.3534359726532921,0.017836145146424343,0.16340809489697788,0.987306564472476,0.9259540228815124,2.2898917198181152,0.19949114604932386,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,23,own_B,0.043555990959123256,0.3359518566953775,0.013484832930024396,0.10027108889974588,1.0581266680145918,0.9999999362715263,0.0,0.12424185925322832,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,23,official_B_to_recent,0.040909997691149114,0.3229448331512054,0.009043522321326547,0.06805897079960815,0.9145791730815082,0.9537542394819085,1.7924119234085083,0.1873236488800364,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,37,own_B,0.043249146039566894,0.36159136000454606,0.025994318491986697,0.20121204309537857,1.1253439519368968,0.9999999667927484,0.0,0.17736693113340019,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,37,official_B_to_recent,0.03935771608045581,0.34247795499455547,0.02260704569729729,0.17719604924477353,1.1362340532637472,0.9503775327440638,1.8659677505493164,0.16125877488138035,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,5,own_B,0.043116085074382915,0.38596061347758,0.021301189622375365,0.18178952879076,1.2645419436033332,0.9999999085092319,0.0,0.110939985879729,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,5,official_B_to_recent,0.042437203051012486,0.3864314437242325,0.02033864533768872,0.17898349419880752,1.2142631053556436,0.9855974941973389,0.9780046939849854,0.07246697239284283,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,40,own_B,0.04256838619310029,0.3926289789719908,0.017288807054660717,0.15285479611172098,1.15864043894161,1.0000000922278036,0.0,0.12317247532555183,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,40,official_B_to_recent,0.039074715730402304,0.35536057330142645,0.011463336348901197,0.09925844994326948,0.968014429590049,0.9305936548337271,2.223188877105713,0.22794244905479905,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,55,own_B,0.042439801555570866,0.34768364255329337,0.017277205003824007,0.13935251852115013,1.1748598610376952,0.9999999673231761,0.0,0.13816701345626156,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,55,official_B_to_recent,0.04286442643518605,0.3627679296354593,0.01753196350680895,0.15260649216867647,1.0482372367598285,0.9591677178459267,1.6826274394989014,0.16707043078771083,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,25,own_B,0.042343097882481785,0.3632811325932089,0.020612458512529203,0.20448514171858173,1.0586751591233636,1.0000000689807933,0.0,0.14731858836315878,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,25,official_B_to_recent,0.040932046225427524,0.35079192612443344,0.021347045401844407,0.2128247065086776,1.006760168658949,0.9666005874242466,1.5125614404678345,0.14607625365696872,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,49,own_B,0.04210440288914809,0.37916113490777287,0.027408933239588703,0.25101242696505155,1.267673979893397,1.0000000294240572,0.0,0.13737898009881389,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,49,official_B_to_recent,0.04151030987175965,0.3732590227824027,0.02468997263103343,0.2236906144110762,1.2587285702108535,0.9617646948628822,1.626070499420166,0.16445112079751448,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,17,own_B,0.04202567332351777,0.3266994868477989,0.02009437597976908,0.15254302984429538,1.1021866232274797,0.9999997366923908,0.0,0.14718478170359944,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,17,official_B_to_recent,0.03865548497309674,0.30419815104202874,0.01849839325439375,0.1396603872454567,1.0611844432017046,0.9512685355201425,1.8393412828445435,0.18406636312572044,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,79,own_B,0.041920305068063254,0.3471564358822728,0.020208579529149402,0.15945159231926231,1.134467614278654,1.0000000231140496,0.0,0.11739379782484932,899,2022-01-01..2025-09-17
cross_period_recent,csi300_recent,79,official_B_to_recent,0.04073293647193412,0.33678722360852315,0.015606953036982361,0.12296869735108887,1.2095698745310708,0.9735916750996437,1.3393869400024414,0.14565644536576935,899,2022-01-01..2025-09-17
cross_index_official,csi100_official,512,own_B,0.02420472845301758,0.125820662668753,0.032862441968987535,0.18465978999143104,0.8281231726350337,0.9999999519033417,0.0,0.14420748957801152,871,2017-01-01..2020-08-01
cross_index_official,csi100_official,512,csi300_B_to_target,0.02398789057766491,0.1324189996341001,0.028749407110168067,0.16743820382369282,0.7857259763991777,0.9456537571854537,1.9578720331192017,0.19949114604932386,871,2017-01-01..2020-08-01
cross_index_official,csi100_official,23,own_B,0.02963778407855745,0.18302111373336333,0.03230505548678166,0.215197504842089,0.9739297228146893,0.999999964642204,0.0,0.15023097948506675,871,2017-01-01..2020-08-01
cross_index_official,csi100_official,23,csi300_B_to_target,0.0314782225222045,0.19689204928505918,0.03446943275710594,0.2284973790279861,0.9245447025031764,0.9536825966069661,1.7976922988891602,0.1873236488800364,871,2017-01-01..2020-08-01
cross_index_official,csi100_official,37,own_B,0.031171024498080645,0.14821924590838734,0.04272653829241026,0.21452302009429425,0.8876458469984225,0.9999997973031145,0.0,0.08168666376714,871,2017-01-01..2020-08-01
cross_index_official,csi100_official,37,csi300_B_to_target,0.03477558424950312,0.16678622755784347,0.04465583860668466,0.2267180939827846,0.9221964422377547,0.9721668531056152,1.3758989572525024,0.16125877488138035,871,2017-01-01..2020-08-01
cross_index_official,csi100_official,5,own_B,0.023880715076321977,0.12318375934206438,0.03810422960537294,0.2090333385848669,0.8581924841681048,0.9999999377918581,0.0,0.08305972242649305,871,2017-01-01..2020-08-01
cross_index_official,csi100_official,5,csi300_B_to_target,0.022116211446746678,0.1126009358149651,0.036104114761302895,0.1929253678924491,0.8397878955347557,0.9937453031889938,0.6406241655349731,0.07246697239284283,871,2017-01-01..2020-08-01
cross_index_official,csi100_official,40,own_B,0.02899896935866515,0.16125407655413074,0.03273454101576494,0.18692741572534766,0.7295387775546003,1.0000000284744488,0.0,0.13334202949493915,871,2017-01-01..2020-08-01
cross_index_official,csi100_official,40,csi300_B_to_target,0.026878210194586846,0.147322967295018,0.030501964643627418,0.17304656018976577,0.7163085156397476,0.9246739856904634,2.3197360038757324,0.22794244905479905,871,2017-01-01..2020-08-01
cross_index_official,csi100_official,55,own_B,0.03168639980907041,0.18086119265893055,0.03749768658976806,0.23230321212404545,0.9378643075322405,1.0000000759394942,0.0,0.17087845020922712,871,2017-01-01..2020-08-01
cross_index_official,csi100_official,55,csi300_B_to_target,0.031049168257686208,0.1788613624241324,0.035856433333207705,0.22169090579739215,0.8759081904135371,0.9511907413977004,1.8483961820602417,0.16707043078771083,871,2017-01-01..2020-08-01
cross_index_official,csi100_official,25,own_B,0.03091500550635064,0.15694935253790893,0.042752845866677006,0.23303285577346708,0.7586601182552066,1.0000002318537091,0.0,0.07453865274114427,871,2017-01-01..2020-08-01
cross_index_official,csi100_official,25,csi300_B_to_target,0.03136485138981178,0.16402553859783342,0.04279984637750662,0.24227986262925053,0.853976394652098,0.9779175053325566,1.2278804779052734,0.14607625365696872,871,2017-01-01..2020-08-01
cross_index_official,csi100_official,49,own_B,0.03115494396624125,0.1772578497749537,0.03862849253568387,0.22742193379720957,0.9904796182405219,0.9999999601765555,0.0,0.16476547041879516,871,2017-01-01..2020-08-01
cross_index_official,csi100_official,49,csi300_B_to_target,0.02944004987935668,0.17101243002791866,0.03473939206594111,0.20673444299424798,0.9596718817150193,0.9470560941928584,1.9199391603469849,0.16445112079751448,871,2017-01-01..2020-08-01
cross_index_official,csi100_official,17,own_B,0.03286783185361919,0.1959861217294746,0.038069006927575144,0.23866733667320716,0.9546512899880267,1.0000000577656651,0.0,0.09177893649230481,871,2017-01-01..2020-08-01
cross_index_official,csi100_official,17,csi300_B_to_target,0.03245600109105247,0.19612226695294024,0.03816866590359221,0.2377829434157566,0.9507607875269211,0.9652094164812308,1.5459636449813843,0.18406636312572044,871,2017-01-01..2020-08-01
cross_index_official,csi100_official,79,own_B,0.03892237310200591,0.20378129801913114,0.043506668893952424,0.24717531064150106,0.9867760895534287,0.9999999901970602,0.0,0.1163583654765006,871,2017-01-01..2020-08-01
cross_index_official,csi100_official,79,csi300_B_to_target,0.03811603942714563,0.20887852388671013,0.04345896177992795,0.2574854398217958,1.0109396996741014,0.9728130471464185,1.3519150018692017,0.14565644536576935,871,2017-01-01..2020-08-01
cross_index_official,csi500_official,512,own_B,0.041345599006006165,0.38812907180700884,0.04370570523097053,0.4197798551515179,1.0397776393900298,0.9999999656879304,0.0,0.2111489174900513,871,2017-01-01..2020-08-01
cross_index_official,csi500_official,512,csi300_B_to_target,0.02927623005648241,0.2789673442677291,0.03495583808639635,0.3472528531544455,0.7774260977459666,0.9188375249268872,2.4389264583587646,0.19949114604932386,871,2017-01-01..2020-08-01
cross_index_official,csi500_official,23,own_B,0.03845160396835952,0.34495106053931957,0.03856168850739434,0.34463392445053476,1.1966094901330138,0.9999997713369176,0.0,0.16233694858622535,871,2017-01-01..2020-08-01
cross_index_official,csi500_official,23,csi300_B_to_target,0.03452910550887588,0.31039221430229946,0.03241949433127246,0.287051520425653,0.967252439930161,0.9456007417130876,1.9484152793884277,0.1873236488800364,871,2017-01-01..2020-08-01
cross_index_official,csi500_official,37,own_B,0.04298972728791857,0.39346471592364807,0.045857437332789706,0.41759368850277256,1.239894179973093,0.9999997318228683,0.0,0.16468976064747426,871,2017-01-01..2020-08-01
cross_index_official,csi500_official,37,csi300_B_to_target,0.04164084283336918,0.3912979518536257,0.04560518714271934,0.417216217183893,1.1440672912183074,0.9556028101805609,1.7567625045776367,0.16125877488138035,871,2017-01-01..2020-08-01
cross_index_official,csi500_official,5,own_B,0.04359903450981498,0.38454311285467424,0.041951349393935626,0.37928797221952737,1.177438998614849,1.0000000548767878,0.0,0.1509403556556587,871,2017-01-01..2020-08-01
cross_index_official,csi500_official,5,csi300_B_to_target,0.04306192479109804,0.3976039185131118,0.0436997440859746,0.4175286228542329,1.1303988517571073,0.9722819151999137,1.3779798746109009,0.07246697239284283,871,2017-01-01..2020-08-01
cross_index_official,csi500_official,40,own_B,0.04655205271998746,0.4308611027158238,0.04302393272192774,0.3940061081269736,1.19006207424656,1.0000000577946875,0.0,0.1783040942405031,871,2017-01-01..2020-08-01
cross_index_official,csi500_official,40,csi300_B_to_target,0.04808561146589512,0.48779537163276876,0.04016300037593795,0.4044936485017013,1.206786908991118,0.9182996107115178,2.4014759063720703,0.22794244905479905,871,2017-01-01..2020-08-01
cross_index_official,csi500_official,55,own_B,0.043394317027449995,0.413998283086704,0.04291057491464519,0.423473104841673,1.4932031229387241,0.9999999735881248,0.0,0.22927991540629383,871,2017-01-01..2020-08-01
cross_index_official,csi500_official,55,csi300_B_to_target,0.04324919148385591,0.42561117246713814,0.040247922758944524,0.40554348768795484,1.3562740715715722,0.9327060449363724,2.185798406600952,0.16707043078771083,871,2017-01-01..2020-08-01
cross_index_official,csi500_official,25,own_B,0.03459671575166118,0.3253053202366729,0.03610054329560923,0.34952057882921955,0.8526876323494473,0.9999999704845912,0.0,0.21577224882699836,871,2017-01-01..2020-08-01
cross_index_official,csi500_official,25,csi300_B_to_target,0.029453185531404507,0.28988197717624226,0.030304319283395133,0.3109440575753434,0.9180916267583225,0.9389098525219135,2.0674309730529785,0.14607625365696872,871,2017-01-01..2020-08-01
cross_index_official,csi500_official,49,own_B,0.04135181885504537,0.3622648857415661,0.04368629350804348,0.392117059127704,1.2413293337629994,0.9999999654777106,0.0,0.1653352687314063,871,2017-01-01..2020-08-01
cross_index_official,csi500_official,49,csi300_B_to_target,0.03848048911221856,0.3501390404289015,0.03591792123579086,0.32760359396955435,1.0902202242387538,0.9527135678251424,1.8123021125793457,0.16445112079751448,871,2017-01-01..2020-08-01
cross_index_official,csi500_official,17,own_B,0.04340428995758404,0.40301029143699907,0.04026614051368064,0.36937552815329777,1.2532689219433382,1.0000000652676244,0.0,0.1138557223459237,871,2017-01-01..2020-08-01
cross_index_official,csi500_official,17,csi300_B_to_target,0.04455494865164257,0.44339275193845396,0.04353674437997525,0.41785567079707814,1.3295290864918545,0.9636220117186558,1.5818332433700562,0.18406636312572044,871,2017-01-01..2020-08-01
cross_index_official,csi500_official,79,own_B,0.03559234578319682,0.2993456258031593,0.033808282810619324,0.2803087383890247,0.9164680823389887,0.9999999412976527,0.0,0.18463074506033847,871,2017-01-01..2020-08-01
cross_index_official,csi500_official,79,csi300_B_to_target,0.03265496638147672,0.31679872354664373,0.031799239784875394,0.29410952623854264,0.9130682594036312,0.9377503027081415,2.0944416522979736,0.14565644536576935,871,2017-01-01..2020-08-01
